candidate_id,rank,score,reasoning
CAND_0052682,1,0.8049,"Stellar NLP Engineer with 6.6 years of experience, possessing deep expertise in QLoRA, FAISS. Proven track record of shipping ML systems at Aganitha and Salesforce. Excellent availability with 88% response rate and quick 30-day notice period, based in Vizag, Andhra Pradesh."
CAND_0079387,2,0.8047,"Stellar AI Engineer with 6.9 years of experience, possessing deep expertise in Vector Search, OpenSearch. Proven track record of shipping ML systems at Microsoft and upGrad. Excellent availability with 81% response rate and quick 30-day notice period, based in Trivandrum, Kerala."
CAND_0081846,3,0.8027,"Stellar Lead AI Engineer with 6.7 years of experience, possessing deep expertise in Learning to Rank, Elasticsearch. Proven track record of shipping ML systems at Razorpay and Paytm. Excellent availability with 73% response rate and quick 30-day notice period, based in Jaipur, Rajasthan."
CAND_0002025,4,0.8020,"Stellar Senior AI Engineer with 5.9 years of experience, possessing deep expertise in FAISS, TensorFlow. Proven track record of shipping ML systems at Apple and Aganitha. Excellent availability with 80% response rate and quick 30-day notice period, based in Trivandrum, Kerala."
CAND_0043637,5,0.7849,"Stellar Junior ML Engineer with 5.5 years of experience, possessing deep expertise in PyTorch, Milvus. Proven track record of shipping ML systems at Rephrase.ai and Yellow.ai. Strong engagement (92% response rate, 45-day notice), located in Delhi, Delhi."
CAND_0068351,6,0.7832,"Stellar Lead AI Engineer with 6.4 years of experience, possessing deep expertise in Qdrant, Elasticsearch. Proven track record of shipping ML systems at Sarvam AI and Verloop.io. Excellent availability with 86% response rate and quick 0-day notice period, based in Delhi, Delhi."
CAND_0011687,7,0.7815,"Stellar Senior NLP Engineer with 7.8 years of experience, possessing deep expertise in TensorFlow, OpenSearch. Proven track record of shipping ML systems at Niramai and Krutrim. Excellent availability with 89% response rate and quick 15-day notice period, based in Indore, Madhya Pradesh."
CAND_0043860,8,0.7621,"Stellar Junior ML Engineer with 6.1 years of experience, possessing deep expertise in Qdrant, PyTorch. Proven track record of shipping ML systems at Aganitha and Nykaa. Excellent availability with 81% response rate and quick 30-day notice period, based in Bhubaneswar, Odisha."
CAND_0077337,9,0.7621,"Stellar Staff Machine Learning Engineer with 7.0 years of experience, possessing deep expertise in QLoRA, Pinecone. Proven track record of shipping ML systems at Paytm and Razorpay. Strong engagement (95% response rate, 60-day notice), located in Kochi, Kerala."
CAND_0099806,10,0.7608,"Stellar AI Engineer with 4.6 years of experience, possessing deep expertise in LoRA, RAG. Proven track record of shipping ML systems at Mad Street Den and upGrad. Excellent availability with 76% response rate and quick 30-day notice period, based in Bhubaneswar, Odisha."
CAND_0030031,11,0.7586,"Highly qualified AI Engineer with 5.7 years of experience, skilled in PyTorch, NLP. Demonstrated strong software and ML engineering competency at Microsoft and Amazon. Excellent availability with 94% response rate and quick 30-day notice period, based in Trivandrum, Kerala."
CAND_0070525,12,0.7460,"Highly qualified Senior Software Engineer (ML) with 5.4 years of experience, skilled in LLMs, Embeddings. Demonstrated strong software and ML engineering competency at Mad Street Den and Wysa. Strong engagement (93% response rate, 45-day notice), located in Hyderabad, Telangana."
CAND_0046064,13,0.7432,"Highly qualified Senior NLP Engineer with 8.9 years of experience, skilled in Pinecone, OpenSearch. Demonstrated strong software and ML engineering competency at Salesforce and Verloop.io. Excellent availability with 78% response rate and quick 30-day notice period, based in Coimbatore, Tamil Nadu."
CAND_0050454,14,0.7431,"Highly qualified AI Engineer with 6.8 years of experience, skilled in PyTorch, QLoRA. Demonstrated strong software and ML engineering competency at Rephrase.ai and Uber. Excellent availability with 77% response rate and quick 30-day notice period, based in Delhi, Delhi."
CAND_0016659,15,0.7422,"Highly qualified ML Engineer with 4.4 years of experience, skilled in Pinecone, PEFT. Demonstrated strong software and ML engineering competency at Glance and Flipkart. Strong engagement (89% response rate, 45-day notice), located in Coimbatore, Tamil Nadu."
CAND_0025640,16,0.7421,"Highly qualified AI Research Engineer with 5.6 years of experience, skilled in PEFT, FAISS. Demonstrated strong software and ML engineering competency at HCL and Yellow.ai. Excellent availability with 87% response rate and quick 30-day notice period, based in Jaipur, Rajasthan."
CAND_0065786,17,0.7418,"Highly qualified AI Specialist with 4.9 years of experience, skilled in LoRA, Learning to Rank. Demonstrated strong software and ML engineering competency at Swiggy and PhonePe. Strong engagement (89% response rate, 45-day notice), located in Indore, Madhya Pradesh."
CAND_0061655,18,0.7353,"Highly qualified Machine Learning Engineer with 4.6 years of experience, skilled in PEFT, Pinecone. Demonstrated strong software and ML engineering competency at Krutrim and Google. Excellent availability with 88% response rate and quick 15-day notice period, based in Jaipur, Rajasthan."
CAND_0078002,19,0.7350,"Highly qualified Machine Learning Engineer with 6.3 years of experience, skilled in TensorFlow, NLP. Demonstrated strong software and ML engineering competency at Meta and Genpact AI. Strong engagement (86% response rate, 60-day notice), located in Coimbatore, Tamil Nadu."
CAND_0061257,20,0.7267,"Highly qualified Staff Machine Learning Engineer with 8.0 years of experience, skilled in PEFT. Demonstrated strong software and ML engineering competency at LinkedIn and Yellow.ai. Excellent availability with 87% response rate and quick 30-day notice period, based in Noida, Uttar Pradesh."
CAND_0079284,21,0.7267,"Highly qualified Machine Learning Engineer with 4.9 years of experience, skilled in QLoRA, Qdrant. Demonstrated strong software and ML engineering competency at Google and Swiggy. Excellent availability with 79% response rate and quick 30-day notice period, based in Hyderabad, Telangana."
CAND_0062247,22,0.7266,"Highly qualified AI Engineer with 7.3 years of experience, skilled in Pinecone, Vector Search. Demonstrated strong software and ML engineering competency at Google and Dream11. Excellent availability with 78% response rate and quick 30-day notice period, based in Kochi, Kerala."
CAND_0093912,23,0.7168,"Highly qualified Senior Data Scientist with 5.3 years of experience, skilled in Milvus, Embeddings. Demonstrated strong software and ML engineering competency at Razorpay and Flipkart. Excellent availability with 66% response rate and quick 30-day notice period, based in Chandigarh, Chandigarh."
CAND_0018499,24,0.7151,"Highly qualified Senior Machine Learning Engineer with 7.2 years of experience, skilled in Weaviate, Pinecone. Demonstrated strong software and ML engineering competency at Zomato and Google. Excellent availability with 61% response rate and quick 15-day notice period, based in Noida, Uttar Pradesh."
CAND_0071974,25,0.7148,"Highly qualified Senior AI Engineer with 7.8 years of experience, skilled in LoRA, Learning to Rank. Demonstrated strong software and ML engineering competency at Netflix and Meta. Strong engagement (76% response rate, 45-day notice), located in Vizag, Andhra Pradesh."
CAND_0098454,26,0.7136,"Highly qualified AI Specialist with 6.6 years of experience, skilled in Vector Search, NLP. Demonstrated strong software and ML engineering competency at Meesho and Wipro. Strong engagement (87% response rate, 60-day notice), located in Indore, Madhya Pradesh."
CAND_0037160,27,0.7091,"Highly qualified Data Scientist with 6.0 years of experience, skilled in LLMs, Weaviate. Demonstrated strong software and ML engineering competency at Haptik and TCS. Excellent availability with 74% response rate and quick 30-day notice period, based in Mumbai, Maharashtra."
CAND_0046525,28,0.7068,"Highly qualified Senior Machine Learning Engineer with 6.1 years of experience, skilled in Elasticsearch, TensorFlow. Demonstrated strong software and ML engineering competency at Genpact AI and LinkedIn. Strong engagement (88% response rate, 60-day notice), located in Pune, Maharashtra."
CAND_0077498,29,0.7011,"Highly qualified Senior Software Engineer (ML) with 5.4 years of experience, skilled in Embeddings, Elasticsearch. Demonstrated strong software and ML engineering competency at Niramai and Tech Mahindra. Strong engagement (89% response rate, 60-day notice), located in Ahmedabad, Gujarat."
CAND_0037980,30,0.7001,"Highly qualified Senior Applied Scientist with 9.0 years of experience, skilled in LoRA, PyTorch. Demonstrated strong software and ML engineering competency at Niramai and Verloop.io. Excellent availability with 63% response rate and quick 0-day notice period, based in Kolkata, West Bengal."
CAND_0006567,31,0.6986,"Highly qualified Senior AI Engineer with 7.9 years of experience, skilled in NLP. Demonstrated strong software and ML engineering competency at Meta and Razorpay. Strong engagement (79% response rate, 60-day notice), located in Noida, Uttar Pradesh."
CAND_0048558,32,0.6977,"Highly qualified Data Scientist with 6.7 years of experience, skilled in OpenSearch, Qdrant. Demonstrated strong software and ML engineering competency at Rephrase.ai and Aganitha. Excellent availability with 80% response rate and quick 30-day notice period, based in Noida, Uttar Pradesh."
CAND_0046132,33,0.6964,"Highly qualified AI Research Engineer with 4.3 years of experience, skilled in PyTorch, Fine-tuning LLMs. Demonstrated strong software and ML engineering competency at Verloop.io and Meesho. Excellent availability with 94% response rate and quick 30-day notice period, based in Noida, Uttar Pradesh."
CAND_0068932,34,0.6961,"Highly qualified ML Engineer with 5.2 years of experience, skilled in Milvus, RAG. Demonstrated strong software and ML engineering competency at Krutrim and Vedantu. Excellent availability with 82% response rate and quick 30-day notice period, based in Noida, Uttar Pradesh."
CAND_0017178,35,0.6924,"Highly qualified ML Engineer with 4.2 years of experience, skilled in PEFT, QLoRA. Demonstrated strong software and ML engineering competency at Swiggy and Glance. Excellent availability with 85% response rate and quick 30-day notice period, based in Hyderabad, Telangana."
CAND_0033445,36,0.6901,"Highly qualified ML Engineer with 6.8 years of experience, skilled in Deep Learning, Image Classification. Demonstrated strong software and ML engineering competency at Vedantu and Niramai. Excellent availability with 94% response rate and quick 30-day notice period, based in Ahmedabad, Gujarat."
CAND_0066690,37,0.6883,"Highly qualified ML Engineer with 4.8 years of experience, skilled in PEFT, Elasticsearch. Demonstrated strong software and ML engineering competency at Freshworks and Genpact AI. Excellent availability with 88% response rate and quick 30-day notice period, based in Gurgaon, Haryana."
CAND_0024878,38,0.6866,"Highly qualified AI Specialist with 5.7 years of experience, skilled in Elasticsearch, NLP. Demonstrated strong software and ML engineering competency at HCL and Krutrim. Strong engagement (84% response rate, 60-day notice), located in Vizag, Andhra Pradesh."
CAND_0021410,39,0.6850,"Highly qualified Junior ML Engineer with 4.0 years of experience, skilled in PyTorch, LLMs. Demonstrated strong software and ML engineering competency at Krutrim and Sarvam AI. Strong engagement (80% response rate, 60-day notice), located in Hyderabad, Telangana."
CAND_0080766,40,0.6841,"Highly qualified Staff Machine Learning Engineer with 8.8 years of experience, skilled in LoRA, Elasticsearch. Demonstrated strong software and ML engineering competency at Salesforce and Aganitha. Excellent availability with 66% response rate and quick 0-day notice period, based in Coimbatore, Tamil Nadu."
CAND_0081480,41,0.6841,"Highly qualified Computer Vision Engineer with 5.6 years of experience, skilled in Vector Search, PyTorch. Demonstrated strong software and ML engineering competency at Sarvam AI and Unacademy. Strong engagement (85% response rate, 60-day notice), located in Noida, Uttar Pradesh."
CAND_0088025,42,0.6814,"Highly qualified Staff Machine Learning Engineer with 8.6 years of experience, skilled in Pinecone, QLoRA. Demonstrated strong software and ML engineering competency at Yellow.ai and Niramai. Strong engagement (83% response rate, 90-day notice), located in Jaipur, Rajasthan."
CAND_0070514,43,0.6697,"Highly qualified AI Specialist with 5.5 years of experience, skilled in Pinecone, PEFT. Demonstrated strong software and ML engineering competency at Glance and BYJU'S. Strong engagement (80% response rate, 60-day notice), located in Bangalore, Karnataka."
CAND_0049538,44,0.6680,"Highly qualified Applied ML Engineer with 5.8 years of experience, skilled in Learning to Rank, OpenSearch. Demonstrated strong software and ML engineering competency at Saarthi.ai and PolicyBazaar. Excellent availability with 72% response rate and quick 30-day notice period, based in Jaipur, Rajasthan."
CAND_0075249,45,0.6674,"Highly qualified Applied ML Engineer with 6.2 years of experience, skilled in Milvus, Fine-tuning LLMs. Demonstrated strong software and ML engineering competency at Zomato and upGrad. Strong engagement (82% response rate, 45-day notice), located in Ahmedabad, Gujarat."
CAND_0006418,46,0.6672,"Highly qualified Machine Learning Engineer with 5.7 years of experience, skilled in Embeddings, TensorFlow. Demonstrated strong software and ML engineering competency at Verloop.io and Flipkart. Strong engagement (92% response rate, 60-day notice), located in Gurgaon, Haryana."
CAND_0027691,47,0.6633,"Highly qualified NLP Engineer with 6.5 years of experience, skilled in LoRA, PEFT. Demonstrated strong software and ML engineering competency at Haptik and Vedantu. Excellent availability with 68% response rate and quick 15-day notice period, based in Pune, Maharashtra."
CAND_0053605,48,0.6624,"Highly qualified Senior Software Engineer (ML) with 6.9 years of experience, skilled in RAG. Demonstrated strong software and ML engineering competency at Verloop.io and TCS. Excellent availability with 88% response rate and quick 30-day notice period, based in Noida, Uttar Pradesh."
CAND_0033179,49,0.6597,"Highly qualified AI Research Engineer with 6.9 years of experience, skilled in OpenSearch, PyTorch. Demonstrated strong software and ML engineering competency at Wipro and CRED. Excellent availability with 84% response rate and quick 30-day notice period, based in Ahmedabad, Gujarat."
CAND_0008295,50,0.6588,"Highly qualified AI Research Engineer with 6.5 years of experience, skilled in PEFT, Weaviate. Demonstrated strong software and ML engineering competency at Razorpay and TCS. Strong engagement (89% response rate, 45-day notice), located in Pune, Maharashtra."
CAND_0072688,51,0.6550,"Solid Data Scientist with 6.9 years of experience, familiar with Milvus, LoRA. Background includes relevant engineering roles at Niramai and PolicyBazaar. Strong engagement (87% response rate, 45-day notice), located in Pune, Maharashtra."
CAND_0063622,52,0.6506,"Solid Computer Vision Engineer with 5.2 years of experience, familiar with NLP, Vector Search. Background includes relevant engineering roles at Niramai and Zoho. Excellent availability with 92% response rate and quick 30-day notice period, based in Hyderabad, Telangana."
CAND_0007596,53,0.6482,"Solid Junior ML Engineer with 4.4 years of experience, familiar with Weaviate, Vector Search. Background includes relevant engineering roles at Flipkart and Meesho. Strong engagement (86% response rate, 45-day notice), located in Delhi, Delhi."
CAND_0053527,54,0.6464,"Solid Junior ML Engineer with 7.0 years of experience, familiar with Pinecone, Qdrant. Background includes relevant engineering roles at PhonePe and PolicyBazaar. Strong engagement (81% response rate, 90-day notice), located in Bangalore, Karnataka."
CAND_0069638,55,0.6454,"Solid Computer Vision Engineer with 6.2 years of experience, familiar with Fine-tuning LLMs, PEFT. Background includes relevant engineering roles at Swiggy and Zomato. Excellent availability with 64% response rate and quick 30-day notice period, based in Chennai, Tamil Nadu."
CAND_0075574,56,0.6439,"Solid Machine Learning Engineer with 5.7 years of experience, familiar with Weaviate, OpenSearch. Background includes relevant engineering roles at Haptik and Observe.AI. Strong engagement (57% response rate, 60-day notice), located in Bangalore, Karnataka."
CAND_0069905,57,0.6389,"Solid Applied ML Engineer with 6.6 years of experience, familiar with LoRA, TensorFlow. Background includes relevant engineering roles at Sarvam AI and Nykaa. Strong engagement (78% response rate, 90-day notice), located in Bhubaneswar, Odisha."
CAND_0044222,58,0.6382,"Solid AI Engineer with 7.7 years of experience, familiar with Vector Search, OpenSearch. Background includes relevant engineering roles at PolicyBazaar and InMobi. Strong engagement (60% response rate, 60-day notice), located in Vizag, Andhra Pradesh."
CAND_0018293,59,0.6362,"Solid Data Scientist with 5.6 years of experience, familiar with Weaviate. Background includes relevant engineering roles at PharmEasy and Sarvam AI. Strong engagement (87% response rate, 60-day notice), located in Indore, Madhya Pradesh."
CAND_0005538,60,0.6349,"Solid Senior AI Engineer with 5.9 years of experience, familiar with QLoRA, PyTorch. Background includes relevant engineering roles at Adobe and Locobuzz. Strong engagement (81% response rate, 90-day notice), located in Kolkata, West Bengal."
CAND_0073007,61,0.6317,"Solid AI Specialist with 5.8 years of experience, familiar with Milvus, PyTorch. Background includes relevant engineering roles at Aganitha and Glance. Strong engagement (83% response rate, 60-day notice), located in Bangalore, Karnataka."
CAND_0054123,62,0.6313,"Solid Applied ML Engineer with 4.7 years of experience, familiar with Weaviate, Qdrant. Background includes relevant engineering roles at Meta and CRED. Strong engagement (87% response rate, 60-day notice), located in Gurgaon, Haryana."
CAND_0076163,63,0.6289,"Solid NLP Engineer with 6.9 years of experience, familiar with Weaviate, PyTorch. Background includes relevant engineering roles at Ola and Zoho. Strong engagement (84% response rate, 60-day notice), located in Chandigarh, Chandigarh."
CAND_0030468,64,0.6284,"Solid Senior Applied Scientist with 5.4 years of experience, familiar with TensorFlow, OpenSearch. Background includes relevant engineering roles at Swiggy and CRED. Strong engagement (78% response rate, 45-day notice), located in Indore, Madhya Pradesh."
CAND_0019880,65,0.6255,"Solid AI Specialist with 5.7 years of experience, familiar with Embeddings, QLoRA. Background includes relevant engineering roles at Aganitha and Wipro. Excellent availability with 68% response rate and quick 30-day notice period, based in Pune, Maharashtra."
CAND_0057563,66,0.6241,"Solid NLP Engineer with 6.8 years of experience, familiar with RAG, Elasticsearch. Background includes relevant engineering roles at Locobuzz and Yellow.ai. Strong engagement (83% response rate, 60-day notice), located in Indore, Madhya Pradesh."
CAND_0049540,67,0.6239,"Solid ML Engineer with 6.8 years of experience, familiar with TensorFlow, QLoRA. Background includes relevant engineering roles at Saarthi.ai and Genpact AI. Strong engagement (86% response rate, 60-day notice), located in Trivandrum, Kerala."
CAND_0086022,68,0.6223,"Solid Senior Applied Scientist with 5.3 years of experience, familiar with Vector Search, Fine-tuning LLMs. Background includes relevant engineering roles at Sarvam AI and Uber. Excellent availability with 55% response rate and quick 0-day notice period, based in Kolkata, West Bengal."
CAND_0046459,69,0.6212,"Solid AI Research Engineer with 4.5 years of experience, familiar with Qdrant, RAG. Background includes relevant engineering roles at upGrad and Wipro. Excellent availability with 84% response rate and quick 30-day notice period, based in Pune, Maharashtra."
CAND_0093763,70,0.6197,"Solid Senior Software Engineer (ML) with 5.0 years of experience, familiar with FAISS, Vector Search. Background includes relevant engineering roles at Swiggy and BYJU'S. Strong engagement (92% response rate, 90-day notice), located in Noida, Uttar Pradesh."
CAND_0015097,71,0.6196,"Solid Senior Software Engineer (ML) with 6.0 years of experience, familiar with PEFT, NLP. Background includes relevant engineering roles at Zoho and Krutrim. Excellent availability with 69% response rate and quick 30-day notice period, based in Coimbatore, Tamil Nadu."
CAND_0052195,72,0.6187,"Solid Computer Vision Engineer with 6.3 years of experience, familiar with LoRA, NLP. Background includes relevant engineering roles at Sarvam AI and PolicyBazaar. Excellent availability with 69% response rate and quick 30-day notice period, based in Kolkata, West Bengal."
CAND_0005260,73,0.6182,"Solid Senior NLP Engineer with 5.2 years of experience, familiar with NLP, LoRA. Background includes relevant engineering roles at Netflix and Yellow.ai. Strong engagement (86% response rate, 60-day notice), located in Chennai, Tamil Nadu."
CAND_0083852,74,0.6179,"Solid Data Scientist with 6.0 years of experience, familiar with Qdrant, QLoRA. Background includes relevant engineering roles at Mad Street Den and Dream11. Strong engagement (85% response rate, 90-day notice), located in Ahmedabad, Gujarat."
CAND_0018888,75,0.6165,"Solid AI Research Engineer with 6.5 years of experience, familiar with LLMs, FAISS. Background includes relevant engineering roles at Razorpay and Vedantu. Excellent availability with 55% response rate and quick 30-day notice period, based in Noida, Uttar Pradesh."
CAND_0068964,76,0.6159,"Solid ML Engineer with 4.8 years of experience, familiar with NLP, Weaviate. Background includes relevant engineering roles at Mad Street Den and Zoho. Excellent availability with 70% response rate and quick 30-day notice period, based in Kochi, Kerala."
CAND_0064256,77,0.6142,"Solid Junior ML Engineer with 6.4 years of experience, familiar with PyTorch, Embeddings. Background includes relevant engineering roles at BYJU'S and Aganitha. Excellent availability with 86% response rate and quick 30-day notice period, based in Kolkata, West Bengal."
CAND_0025882,78,0.6138,"Solid Senior Software Engineer (ML) with 5.6 years of experience, familiar with FAISS, Vector Search. Background includes relevant engineering roles at Freshworks and HCL. Strong engagement (79% response rate, 45-day notice), located in Chennai, Tamil Nadu."
CAND_0030348,79,0.6123,"Solid Machine Learning Engineer with 4.5 years of experience, familiar with PyTorch, Embeddings. Background includes relevant engineering roles at BYJU'S and PolicyBazaar. Strong engagement (54% response rate, 45-day notice), located in Noida, Uttar Pradesh."
